# FaceTracer Dataset v1.0 - facelabels.txt - http://www.cs.columbia.edu/CAVE/databases/facetracer/
# Format: face_id	attribute	label
13290	age	child
13377	age	child
13378	age	child
13407	age	child
13441	age	child
13446	age	child
13451	age	child
13492	age	child
13558	age	child
13561	age	child
13565	age	child
13569	age	child
13573	age	child
13583	age	child
13605	age	child
13606	age	child
13607	age	child
13608	age	child
13609	age	child
13610	age	child
13611	age	child
13612	age	child
13613	age	child
13632	age	child
13637	age	child
13642	age	child
13643	age	child
13644	age	child
13645	age	child
13647	age	child
13649	age	child
13660	age	child
13661	age	child
13662	age	child
13680	age	child
13682	age	child
13683	age	child
13718	age	child
13721	age	child
13723	age	child
13725	age	child
13726	age	child
13745	age	child
13790	age	child
13796	age	child
13804	age	child
13857	age	child
13872	age	child
13900	age	child
13901	age	child
13902	age	child
13903	age	child
13921	age	child
13934	age	child
13940	age	child
13942	age	child
13951	age	child
13977	age	child
13978	age	child
13979	age	child
13980	age	child
13982	age	child
13986	age	child
13987	age	child
13988	age	child
13989	age	child
13990	age	child
13991	age	child
13992	age	child
13994	age	child
13998	age	child
14000	age	child
14016	age	child
14018	age	child
14019	age	child
14022	age	child
14024	age	child
14025	age	child
14027	age	child
14028	age	child
14030	age	child
14053	age	child
14101	age	child
14130	age	child
14138	age	child
14177	age	child
14181	age	child
14185	age	child
14197	age	child
14199	age	child
14214	age	child
14215	age	child
14251	age	child
14256	age	child
14276	age	child
14285	age	child
14286	age	child
14288	age	child
14289	age	child
14296	age	child
14298	age	child
14299	age	child
14330	age	child
14346	age	child
14348	age	child
511	age	middle_aged
611	age	middle_aged
669	age	middle_aged
691	age	middle_aged
2494	age	middle_aged
2500	age	middle_aged
2572	age	middle_aged
2659	age	middle_aged
3205	age	middle_aged
3982	age	middle_aged
3996	age	middle_aged
3998	age	middle_aged
4009	age	middle_aged
4046	age	middle_aged
4047	age	middle_aged
4557	age	middle_aged
6353	age	middle_aged
6368	age	middle_aged
6434	age	middle_aged
6482	age	middle_aged
6497	age	middle_aged
6505	age	middle_aged
7291	age	middle_aged
7371	age	middle_aged
11082	age	middle_aged
11424	age	middle_aged
11441	age	middle_aged
11448	age	middle_aged
11465	age	middle_aged
11484	age	middle_aged
11519	age	middle_aged
11530	age	middle_aged
11532	age	middle_aged
11538	age	middle_aged
11546	age	middle_aged
11548	age	middle_aged
11553	age	middle_aged
11561	age	middle_aged
11575	age	middle_aged
11591	age	middle_aged
11598	age	middle_aged
11627	age	middle_aged
11628	age	middle_aged
11665	age	middle_aged
11669	age	middle_aged
11676	age	middle_aged
11715	age	middle_aged
11726	age	middle_aged
11734	age	middle_aged
11742	age	middle_aged
11814	age	middle_aged
11820	age	middle_aged
11829	age	middle_aged
11838	age	middle_aged
11862	age	middle_aged
11868	age	middle_aged
11871	age	middle_aged
11876	age	middle_aged
11888	age	middle_aged
11898	age	middle_aged
11915	age	middle_aged
11916	age	middle_aged
11926	age	middle_aged
11950	age	middle_aged
11957	age	middle_aged
11990	age	middle_aged
12005	age	middle_aged
12016	age	middle_aged
12041	age	middle_aged
12049	age	middle_aged
12053	age	middle_aged
12079	age	middle_aged
12081	age	middle_aged
12084	age	middle_aged
12086	age	middle_aged
12098	age	middle_aged
12101	age	middle_aged
12104	age	middle_aged
12109	age	middle_aged
12111	age	middle_aged
12114	age	middle_aged
12118	age	middle_aged
12138	age	middle_aged
12147	age	middle_aged
12153	age	middle_aged
12160	age	middle_aged
12167	age	middle_aged
12180	age	middle_aged
12182	age	middle_aged
12193	age	middle_aged
12223	age	middle_aged
12267	age	middle_aged
12276	age	middle_aged
12323	age	middle_aged
12324	age	middle_aged
12339	age	middle_aged
12346	age	middle_aged
12358	age	middle_aged
12363	age	middle_aged
12367	age	middle_aged
12368	age	middle_aged
12382	age	middle_aged
12383	age	middle_aged
12397	age	middle_aged
12402	age	middle_aged
12428	age	middle_aged
12453	age	middle_aged
12489	age	middle_aged
12490	age	middle_aged
12520	age	middle_aged
12528	age	middle_aged
12531	age	middle_aged
12533	age	middle_aged
12553	age	middle_aged
12558	age	middle_aged
12569	age	middle_aged
12578	age	middle_aged
12579	age	middle_aged
12609	age	middle_aged
12658	age	middle_aged
12702	age	middle_aged
12704	age	middle_aged
12725	age	middle_aged
12727	age	middle_aged
12737	age	middle_aged
12755	age	middle_aged
12760	age	middle_aged
12762	age	middle_aged
12768	age	middle_aged
12773	age	middle_aged
12774	age	middle_aged
12779	age	middle_aged
12784	age	middle_aged
12789	age	middle_aged
12799	age	middle_aged
12826	age	middle_aged
12842	age	middle_aged
12846	age	middle_aged
12856	age	middle_aged
12873	age	middle_aged
12881	age	middle_aged
12885	age	middle_aged
12886	age	middle_aged
12887	age	middle_aged
12913	age	middle_aged
12924	age	middle_aged
12968	age	middle_aged
12969	age	middle_aged
12989	age	middle_aged
12996	age	middle_aged
13070	age	middle_aged
13098	age	middle_aged
13113	age	middle_aged
13143	age	middle_aged
13145	age	middle_aged
13149	age	middle_aged
13153	age	middle_aged
13157	age	middle_aged
13165	age	middle_aged
13169	age	middle_aged
13174	age	middle_aged
13175	age	middle_aged
13182	age	middle_aged
13186	age	middle_aged
13191	age	middle_aged
13193	age	middle_aged
13221	age	middle_aged
13225	age	middle_aged
13235	age	middle_aged
13236	age	middle_aged
13238	age	middle_aged
13245	age	middle_aged
13246	age	middle_aged
13264	age	middle_aged
13268	age	middle_aged
13272	age	middle_aged
13276	age	middle_aged
13296	age	middle_aged
13298	age	middle_aged
13307	age	middle_aged
13309	age	middle_aged
13319	age	middle_aged
13322	age	middle_aged
13324	age	middle_aged
13329	age	middle_aged
13345	age	middle_aged
13346	age	middle_aged
13350	age	middle_aged
13384	age	middle_aged
13386	age	middle_aged
13392	age	middle_aged
13394	age	middle_aged
13395	age	middle_aged
13412	age	middle_aged
13415	age	middle_aged
13423	age	middle_aged
13457	age	middle_aged
13463	age	middle_aged
13467	age	middle_aged
13468	age	middle_aged
5183	age	senior
5189	age	senior
5236	age	senior
5632	age	senior
5636	age	senior
5950	age	senior
5952	age	senior
5958	age	senior
5959	age	senior
5964	age	senior
6348	age	senior
6424	age	senior
7296	age	senior
11461	age	senior
11462	age	senior
11480	age	senior
11529	age	senior
11543	age	senior
11544	age	senior
11566	age	senior
11571	age	senior
11620	age	senior
11678	age	senior
11680	age	senior
11700	age	senior
11706	age	senior
11707	age	senior
11709	age	senior
11744	age	senior
11839	age	senior
11879	age	senior
11910	age	senior
11922	age	senior
11924	age	senior
11927	age	senior
11929	age	senior
11930	age	senior
11931	age	senior
11933	age	senior
11939	age	senior
11942	age	senior
11951	age	senior
12038	age	senior
12048	age	senior
12050	age	senior
12065	age	senior
12094	age	senior
12095	age	senior
12117	age	senior
12184	age	senior
12186	age	senior
12226	age	senior
12227	age	senior
12229	age	senior
12333	age	senior
12336	age	senior
12424	age	senior
12468	age	senior
12498	age	senior
12591	age	senior
12607	age	senior
12615	age	senior
12616	age	senior
12726	age	senior
12758	age	senior
12759	age	senior
12771	age	senior
12777	age	senior
12790	age	senior
12793	age	senior
12812	age	senior
12828	age	senior
12872	age	senior
12875	age	senior
12888	age	senior
12889	age	senior
12892	age	senior
12895	age	senior
12896	age	senior
12907	age	senior
12908	age	senior
12910	age	senior
12911	age	senior
12914	age	senior
12987	age	senior
12992	age	senior
12998	age	senior
13036	age	senior
13040	age	senior
13057	age	senior
13062	age	senior
13136	age	senior
13159	age	senior
13181	age	senior
13253	age	senior
13254	age	senior
13256	age	senior
13257	age	senior
13275	age	senior
13291	age	senior
13300	age	senior
13349	age	senior
13351	age	senior
13352	age	senior
13356	age	senior
13381	age	senior
13393	age	senior
13409	age	senior
13416	age	senior
13418	age	senior
13420	age	senior
13421	age	senior
13422	age	senior
13425	age	senior
13429	age	senior
13431	age	senior
13448	age	senior
13450	age	senior
13471	age	senior
13512	age	senior
13560	age	senior
13588	age	senior
13593	age	senior
13594	age	senior
13595	age	senior
13598	age	senior
13600	age	senior
13635	age	senior
13663	age	senior
13693	age	senior
13732	age	senior
13754	age	senior
13756	age	senior
13758	age	senior
13764	age	senior
13765	age	senior
13773	age	senior
13776	age	senior
13779	age	senior
13780	age	senior
13781	age	senior
13782	age	senior
13867	age	senior
13873	age	senior
13879	age	senior
13880	age	senior
13886	age	senior
13887	age	senior
13888	age	senior
13892	age	senior
13897	age	senior
13928	age	senior
13929	age	senior
13952	age	senior
13955	age	senior
13995	age	senior
13996	age	senior
14006	age	senior
14047	age	senior
14050	age	senior
14057	age	senior
14093	age	senior
14112	age	senior
14132	age	senior
14142	age	senior
14145	age	senior
14146	age	senior
14147	age	senior
14148	age	senior
14149	age	senior
14156	age	senior
14169	age	senior
14170	age	senior
14178	age	senior
14179	age	senior
14217	age	senior
14218	age	senior
14221	age	senior
14278	age	senior
14282	age	senior
14283	age	senior
14301	age	senior
14303	age	senior
14309	age	senior
14320	age	senior
14335	age	senior
14364	age	senior
14365	age	senior
14371	age	senior
14375	age	senior
14389	age	senior
14396	age	senior
14397	age	senior
14405	age	senior
14430	age	senior
14444	age	senior
14467	age	senior
14477	age	senior
14478	age	senior
14481	age	senior
34	age	youth
459	age	youth
469	age	youth
538	age	youth
587	age	youth
2645	age	youth
2646	age	youth
2650	age	youth
2651	age	youth
3919	age	youth
4509	age	youth
4533	age	youth
5926	age	youth
5927	age	youth
5929	age	youth
8240	age	youth
8841	age	youth
8964	age	youth
8978	age	youth
11095	age	youth
11437	age	youth
11471	age	youth
11476	age	youth
11482	age	youth
11500	age	youth
11510	age	youth
11584	age	youth
11592	age	youth
11626	age	youth
11662	age	youth
11721	age	youth
11723	age	youth
11735	age	youth
11745	age	youth
11777	age	youth
11804	age	youth
11811	age	youth
11815	age	youth
11828	age	youth
11961	age	youth
11968	age	youth
11969	age	youth
11982	age	youth
11984	age	youth
11986	age	youth
11987	age	youth
11988	age	youth
11992	age	youth
11994	age	youth
11996	age	youth
11997	age	youth
12018	age	youth
12108	age	youth
12137	age	youth
12145	age	youth
12152	age	youth
12163	age	youth
12189	age	youth
12198	age	youth
12214	age	youth
12250	age	youth
12270	age	youth
12283	age	youth
12287	age	youth
12314	age	youth
12316	age	youth
12385	age	youth
12391	age	youth
12404	age	youth
12416	age	youth
12440	age	youth
12442	age	youth
12470	age	youth
12480	age	youth
12549	age	youth
12555	age	youth
12570	age	youth
12603	age	youth
12621	age	youth
12625	age	youth
12627	age	youth
12628	age	youth
12631	age	youth
12638	age	youth
12664	age	youth
12686	age	youth
12687	age	youth
12690	age	youth
12693	age	youth
12714	age	youth
12723	age	youth
12750	age	youth
12775	age	youth
12801	age	youth
12854	age	youth
12866	age	youth
12869	age	youth
12923	age	youth
12933	age	youth
12938	age	youth
13004	age	youth
13008	age	youth
13012	age	youth
13017	age	youth
13028	age	youth
13049	age	youth
13053	age	youth
13076	age	youth
13077	age	youth
13088	age	youth
13089	age	youth
13101	age	youth
13118	age	youth
13126	age	youth
13194	age	youth
13199	age	youth
13214	age	youth
13244	age	youth
13262	age	youth
13288	age	youth
13325	age	youth
13335	age	youth
13343	age	youth
13397	age	youth
13398	age	youth
13433	age	youth
13456	age	youth
13510	age	youth
13516	age	youth
13523	age	youth
13550	age	youth
13579	age	youth
13580	age	youth
13604	age	youth
13618	age	youth
13619	age	youth
13620	age	youth
13621	age	youth
13638	age	youth
13650	age	youth
13653	age	youth
13684	age	youth
13687	age	youth
13696	age	youth
13729	age	youth
13730	age	youth
13771	age	youth
13792	age	youth
13793	age	youth
13794	age	youth
13795	age	youth
13797	age	youth
13799	age	youth
13810	age	youth
13811	age	youth
13818	age	youth
13819	age	youth
13820	age	youth
13821	age	youth
13825	age	youth
13830	age	youth
13833	age	youth
13843	age	youth
13846	age	youth
13855	age	youth
13866	age	youth
13868	age	youth
13875	age	youth
13922	age	youth
13925	age	youth
13947	age	youth
14012	age	youth
14020	age	youth
14051	age	youth
14055	age	youth
14061	age	youth
14117	age	youth
14120	age	youth
14136	age	youth
14151	age	youth
14152	age	youth
14207	age	youth
14212	age	youth
14223	age	youth
14240	age	youth
14244	age	youth
14245	age	youth
14247	age	youth
14248	age	youth
14273	age	youth
14304	age	youth
14337	age	youth
14343	age	youth
14352	age	youth
14353	age	youth
14354	age	youth
14355	age	youth
14366	age	youth
14378	age	youth
14380	age	youth
42	blurry	false
459	blurry	false
472	blurry	false
560	blurry	false
580	blurry	false
584	blurry	false
587	blurry	false
591	blurry	false
612	blurry	false
2527	blurry	false
2533	blurry	false
2537	blurry	false
2540	blurry	false
2643	blurry	false
4001	blurry	false
4003	blurry	false
4004	blurry	false
4007	blurry	false
4028	blurry	false
4033	blurry	false
4041	blurry	false
4042	blurry	false
4048	blurry	false
4050	blurry	false
4063	blurry	false
4072	blurry	false
4534	blurry	false
4967	blurry	false
4971	blurry	false
4975	blurry	false
4983	blurry	false
4988	blurry	false
5176	blurry	false
5180	blurry	false
5183	blurry	false
5185	blurry	false
5189	blurry	false
5200	blurry	false
5204	blurry	false
5208	blurry	false
5212	blurry	false
5213	blurry	false
5489	blurry	false
5493	blurry	false
5502	blurry	false
5506	blurry	false
5507	blurry	false
5632	blurry	false
5653	blurry	false
5851	blurry	false
5931	blurry	false
5932	blurry	false
5933	blurry	false
5934	blurry	false
5935	blurry	false
5948	blurry	false
5963	blurry	false
5964	blurry	false
5968	blurry	false
5970	blurry	false
6334	blurry	false
6339	blurry	false
6348	blurry	false
6353	blurry	false
6362	blurry	false
6370	blurry	false
6406	blurry	false
6446	blurry	false
6723	blurry	false
6727	blurry	false
6733	blurry	false
7362	blurry	false
8484	blurry	false
8497	blurry	false
8499	blurry	false
8834	blurry	false
8835	blurry	false
8837	blurry	false
8841	blurry	false
8845	blurry	false
8848	blurry	false
8854	blurry	false
8855	blurry	false
8958	blurry	false
8964	blurry	false
8966	blurry	false
8978	blurry	false
8986	blurry	false
8987	blurry	false
8999	blurry	false
9000	blurry	false
9001	blurry	false
9012	blurry	false
9019	blurry	false
9027	blurry	false
9029	blurry	false
9254	blurry	false
9278	blurry	false
9280	blurry	false
9282	blurry	false
9283	blurry	false
9469	blurry	false
11429	blurry	false
11437	blurry	false
11449	blurry	false
11450	blurry	false
11495	blurry	false
11519	blurry	false
11531	blurry	false
11539	blurry	false
11552	blurry	false
11653	blurry	false
11655	blurry	false
11657	blurry	false
11658	blurry	false
11664	blurry	false
11722	blurry	false
11728	blurry	false
11732	blurry	false
11739	blurry	false
11749	blurry	false
11764	blurry	false
11771	blurry	false
11786	blurry	false
11787	blurry	false
11788	blurry	false
11790	blurry	false
11791	blurry	false
11835	blurry	false
11840	blurry	false
11852	blurry	false
11858	blurry	false
11861	blurry	false
11884	blurry	false
11889	blurry	false
11893	blurry	false
11905	blurry	false
11906	blurry	false
11912	blurry	false
11914	blurry	false
11919	blurry	false
11923	blurry	false
11953	blurry	false
11964	blurry	false
11978	blurry	false
11982	blurry	false
11986	blurry	false
11992	blurry	false
11998	blurry	false
12036	blurry	false
12043	blurry	false
12046	blurry	false
12054	blurry	false
12066	blurry	false
12075	blurry	false
12088	blurry	false
12093	blurry	false
12103	blurry	false
12112	blurry	false
12123	blurry	false
12139	blurry	false
12150	blurry	false
12177	blurry	false
12181	blurry	false
12194	blurry	false
12201	blurry	false
12231	blurry	false
12252	blurry	false
12260	blurry	false
12278	blurry	false
12289	blurry	false
12301	blurry	false
12305	blurry	false
12308	blurry	false
12313	blurry	false
12341	blurry	false
12342	blurry	false
12343	blurry	false
12359	blurry	false
12373	blurry	false
12377	blurry	false
12395	blurry	false
12406	blurry	false
12415	blurry	false
12424	blurry	false
12430	blurry	false
12438	blurry	false
12450	blurry	false
12453	blurry	false
12510	blurry	false
12532	blurry	false
12548	blurry	false
12551	blurry	false
12566	blurry	false
12575	blurry	false
12593	blurry	false
12596	blurry	false
12598	blurry	false
12602	blurry	false
12603	blurry	false
2583	blurry	true
6403	blurry	true
11574	blurry	true
11595	blurry	true
11674	blurry	true
11686	blurry	true
11687	blurry	true
11689	blurry	true
11713	blurry	true
11730	blurry	true
11745	blurry	true
11747	blurry	true
11759	blurry	true
11767	blurry	true
11775	blurry	true
11805	blurry	true
11824	blurry	true
11844	blurry	true
11845	blurry	true
11846	blurry	true
11848	blurry	true
11851	blurry	true
11878	blurry	true
11880	blurry	true
11881	blurry	true
11883	blurry	true
11887	blurry	true
11890	blurry	true
11907	blurry	true
11908	blurry	true
11917	blurry	true
11921	blurry	true
11925	blurry	true
11936	blurry	true
11941	blurry	true
11943	blurry	true
11965	blurry	true
11975	blurry	true
11977	blurry	true
12019	blurry	true
12021	blurry	true
12022	blurry	true
12024	blurry	true
12025	blurry	true
12026	blurry	true
12027	blurry	true
12028	blurry	true
12030	blurry	true
12031	blurry	true
12032	blurry	true
12034	blurry	true
12035	blurry	true
12045	blurry	true
12067	blurry	true
12133	blurry	true
12134	blurry	true
12155	blurry	true
12156	blurry	true
12158	blurry	true
12168	blurry	true
12174	blurry	true
12192	blurry	true
12202	blurry	true
12211	blurry	true
12212	blurry	true
12213	blurry	true
12253	blurry	true
12255	blurry	true
12271	blurry	true
12348	blurry	true
12370	blurry	true
12390	blurry	true
12417	blurry	true
12448	blurry	true
12463	blurry	true
12479	blurry	true
12482	blurry	true
12483	blurry	true
12484	blurry	true
12485	blurry	true
12487	blurry	true
12526	blurry	true
12535	blurry	true
12536	blurry	true
12539	blurry	true
12542	blurry	true
12546	blurry	true
12576	blurry	true
12595	blurry	true
12604	blurry	true
12611	blurry	true
12626	blurry	true
12653	blurry	true
12654	blurry	true
12655	blurry	true
12656	blurry	true
12657	blurry	true
12667	blurry	true
12668	blurry	true
12669	blurry	true
12670	blurry	true
12713	blurry	true
12729	blurry	true
12730	blurry	true
12731	blurry	true
12732	blurry	true
12733	blurry	true
12734	blurry	true
12747	blurry	true
12764	blurry	true
12772	blurry	true
12791	blurry	true
12802	blurry	true
12805	blurry	true
12806	blurry	true
12821	blurry	true
12827	blurry	true
12833	blurry	true
12851	blurry	true
12874	blurry	true
12898	blurry	true
12899	blurry	true
12912	blurry	true
12922	blurry	true
12931	blurry	true
12934	blurry	true
12937	blurry	true
12943	blurry	true
12945	blurry	true
12946	blurry	true
12947	blurry	true
12948	blurry	true
12949	blurry	true
12950	blurry	true
12951	blurry	true
12952	blurry	true
12955	blurry	true
12959	blurry	true
12960	blurry	true
12961	blurry	true
12962	blurry	true
12997	blurry	true
13011	blurry	true
13013	blurry	true
13014	blurry	true
13015	blurry	true
13022	blurry	true
13024	blurry	true
13025	blurry	true
13065	blurry	true
13066	blurry	true
13067	blurry	true
13068	blurry	true
13071	blurry	true
13074	blurry	true
13082	blurry	true
13083	blurry	true
13084	blurry	true
13102	blurry	true
13111	blurry	true
13123	blurry	true
13125	blurry	true
13130	blurry	true
13146	blurry	true
13147	blurry	true
13148	blurry	true
13152	blurry	true
13156	blurry	true
13172	blurry	true
13178	blurry	true
13180	blurry	true
13183	blurry	true
13219	blurry	true
13228	blurry	true
13229	blurry	true
13230	blurry	true
13261	blurry	true
13278	blurry	true
13282	blurry	true
13283	blurry	true
13287	blurry	true
13289	blurry	true
13299	blurry	true
13305	blurry	true
13306	blurry	true
13312	blurry	true
13321	blurry	true
13336	blurry	true
13337	blurry	true
13338	blurry	true
13340	blurry	true
13344	blurry	true
13357	blurry	true
13373	blurry	true
13374	blurry	true
13382	blurry	true
13385	blurry	true
13390	blurry	true
13454	blurry	true
13455	blurry	true
511	environment	indoor
563	environment	indoor
3960	environment	indoor
4007	environment	indoor
5189	environment	indoor
5489	environment	indoor
6702	environment	indoor
8484	environment	indoor
11446	environment	indoor
11512	environment	indoor
11528	environment	indoor
11540	environment	indoor
11544	environment	indoor
11549	environment	indoor
11564	environment	indoor
11569	environment	indoor
11593	environment	indoor
11616	environment	indoor
11636	environment	indoor
11660	environment	indoor
11677	environment	indoor
11691	environment	indoor
11704	environment	indoor
11729	environment	indoor
11738	environment	indoor
11743	environment	indoor
11810	environment	indoor
11834	environment	indoor
11841	environment	indoor
11842	environment	indoor
11875	environment	indoor
11913	environment	indoor
11956	environment	indoor
11974	environment	indoor
12004	environment	indoor
12006	environment	indoor
12007	environment	indoor
12010	environment	indoor
12013	environment	indoor
12015	environment	indoor
12060	environment	indoor
12061	environment	indoor
12073	environment	indoor
12076	environment	indoor
12080	environment	indoor
12113	environment	indoor
12121	environment	indoor
12146	environment	indoor
12163	environment	indoor
12169	environment	indoor
12182	environment	indoor
12188	environment	indoor
12210	environment	indoor
12213	environment	indoor
12221	environment	indoor
12222	environment	indoor
12230	environment	indoor
12270	environment	indoor
12298	environment	indoor
12336	environment	indoor
12339	environment	indoor
12344	environment	indoor
12347	environment	indoor
12355	environment	indoor
12364	environment	indoor
12432	environment	indoor
12441	environment	indoor
12451	environment	indoor
12467	environment	indoor
12472	environment	indoor
12491	environment	indoor
12502	environment	indoor
12527	environment	indoor
12571	environment	indoor
12597	environment	indoor
12630	environment	indoor
12636	environment	indoor
12638	environment	indoor
12650	environment	indoor
12753	environment	indoor
12776	environment	indoor
12787	environment	indoor
12795	environment	indoor
12803	environment	indoor
12831	environment	indoor
12855	environment	indoor
12858	environment	indoor
12882	environment	indoor
12883	environment	indoor
12884	environment	indoor
12900	environment	indoor
12906	environment	indoor
12930	environment	indoor
12954	environment	indoor
12974	environment	indoor
12976	environment	indoor
12982	environment	indoor
12984	environment	indoor
13002	environment	indoor
13069	environment	indoor
13099	environment	indoor
13119	environment	indoor
13128	environment	indoor
13170	environment	indoor
13195	environment	indoor
13197	environment	indoor
13200	environment	indoor
13212	environment	indoor
13215	environment	indoor
13218	environment	indoor
13258	environment	indoor
13263	environment	indoor
13281	environment	indoor
13286	environment	indoor
13304	environment	indoor
13311	environment	indoor
13320	environment	indoor
13330	environment	indoor
13331	environment	indoor
13333	environment	indoor
13337	environment	indoor
13348	environment	indoor
13371	environment	indoor
13375	environment	indoor
13430	environment	indoor
13434	environment	indoor
13458	environment	indoor
13464	environment	indoor
13477	environment	indoor
13479	environment	indoor
13509	environment	indoor
13520	environment	indoor
13522	environment	indoor
13539	environment	indoor
13544	environment	indoor
13552	environment	indoor
13555	environment	indoor
13626	environment	indoor
13629	environment	indoor
13640	environment	indoor
13641	environment	indoor
13665	environment	indoor
13668	environment	indoor
13673	environment	indoor
13675	environment	indoor
13677	environment	indoor
13689	environment	indoor
13695	environment	indoor
13713	environment	indoor
13720	environment	indoor
13754	environment	indoor
13770	environment	indoor
13774	environment	indoor
13802	environment	indoor
13810	environment	indoor
13813	environment	indoor
13814	environment	indoor
13820	environment	indoor
13824	environment	indoor
13836	environment	indoor
13844	environment	indoor
13852	environment	indoor
13854	environment	indoor
13861	environment	indoor
13888	environment	indoor
13923	environment	indoor
13929	environment	indoor
13931	environment	indoor
13935	environment	indoor
13936	environment	indoor
13949	environment	indoor
13950	environment	indoor
13963	environment	indoor
13966	environment	indoor
13971	environment	indoor
13972	environment	indoor
13981	environment	indoor
13999	environment	indoor
14004	environment	indoor
14008	environment	indoor
14011	environment	indoor
14013	environment	indoor
14021	environment	indoor
14033	environment	indoor
14040	environment	indoor
14042	environment	indoor
14044	environment	indoor
14045	environment	indoor
